country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Bahrain,2002,female,25-34 years,1,59350,,9632155053
Bahrain,2002,female,5-14 years,,63714,,9632155053
Bahrain,2002,female,55-74 years,,16006,,9632155053
Bahrain,2002,female,75+ years,,2738,,9632155053
Bahrain,2002,male,5-14 years,,68596,,9632155053
Bahrain,2002,male,55-74 years,,18646,,9632155053
Bahrain,2002,male,75+ years,,2755,,9632155053
Bahrain,2003,male,35-54 years,17,137287,,11074822074
Bahrain,2003,male,25-34 years,9,105799,,11074822074
Bahrain,2003,female,25-34 years,5,63380,,11074822074
Bahrain,2003,male,15-24 years,3,83143,,11074822074
Bahrain,2003,female,15-24 years,,60298,,11074822074
Bahrain,2003,female,35-54 years,,75430,,11074822074
Bahrain,2003,female,5-14 years,,65298,,11074822074
Bahrain,2003,female,55-74 years,,16343,,11074822074
Bahrain,2003,female,75+ years,,2946,,11074822074
Bahrain,2003,male,5-14 years,,70584,,11074822074
Bahrain,2003,male,55-74 years,,19574,,11074822074
Bahrain,2003,male,75+ years,,2831,,11074822074
Bahrain,2004,male,55-74 years,4,20717,,13150166755
Bahrain,2004,male,25-34 years,19,116777,,13150166755
Bahrain,2004,male,35-54 years,1,150835,,13150166755
Bahrain,2004,female,25-34 years,3,68052,,13150166755
Bahrain,2004,female,35-54 years,3,80288,,13150166755
Bahrain,2004,male,15-24 years,2,88431,,13150166755
Bahrain,2004,female,15-24 years,1,62699,,13150166755
Bahrain,2004,female,5-14 years,,67313,,13150166755
Bahrain,2004,female,55-74 years,,16975,,13150166755
Bahrain,2004,female,75+ years,,3126,,13150166755
Bahrain,2004,male,5-14 years,,73422,,13150166755
Bahrain,2004,male,75+ years,,2924,,13150166755
Bahrain,2005,male,25-34 years,15,142375,0.816,15968726862
Bahrain,2005,male,35-54 years,14,174785,0.816,15968726862
Bahrain,2005,male,55-74 years,2,27261,0.816,15968726862
Bahrain,2005,male,15-24 years,4,79928,0.816,15968726862
Bahrain,2005,female,25-34 years,3,73758,0.816,15968726862
Bahrain,2005,female,15-24 years,2,64792,0.816,15968726862
Bahrain,2005,female,35-54 years,2,92102,0.816,15968726862
Bahrain,2005,female,5-14 years,,66362,0.816,15968726862
Bahrain,2005,female,55-74 years,,19983,0.816,15968726862
Bahrain,2005,female,75+ years,,4389,0.816,15968726862
Bahrain,2005,male,5-14 years,,69742,0.816,15968726862
Bahrain,2005,male,75+ years,,4063,0.816,15968726862
Bahrain,2006,male,25-34 years,12,158656,,18505053191
Bahrain,2006,female,25-34 years,5,80271,,18505053191
Bahrain,2006,female,15-24 years,3,69020,,18505053191
Bahrain,2006,male,55-74 years,1,29960,,18505053191
Bahrain,2006,female,35-54 years,3,100668,,18505053191
Bahrain,2006,male,35-54 years,3,192597,,18505053191
Bahrain,2006,male,15-24 years,1,86090,,18505053191
Bahrain,2006,female,5-14 years,,68590,,18505053191
Bahrain,2006,female,55-74 years,,21363,,18505053191
Bahrain,2006,female,75+ years,,4915,,18505053191
Bahrain,2006,male,5-14 years,,71974,,18505053191
Bahrain,2006,male,75+ years,,4439,,18505053191
Bahrain,2007,male,25-34 years,14,176938,,21730000000
Bahrain,2007,male,35-54 years,13,212426,,21730000000
Bahrain,2007,male,55-74 years,2,32965,,21730000000
Bahrain,2007,male,15-24 years,5,92875,,21730000000
Bahrain,2007,female,25-34 years,3,87472,,21730000000
Bahrain,2007,female,35-54 years,2,110173,,21730000000
Bahrain,2007,female,15-24 years,1,73617,,21730000000
Bahrain,2007,female,5-14 years,,70861,,21730000000
Bahrain,2007,female,55-74 years,,22872,,21730000000
Bahrain,2007,female,75+ years,,5497,,21730000000
Bahrain,2007,male,5-14 years,,74222,,21730000000
Bahrain,2007,male,75+ years,,4852,,21730000000
Bahrain,2008,male,25-34 years,21,196832,,25710877660
Bahrain,2008,male,35-54 years,13,225866,,25710877660
Bahrain,2008,female,15-24 years,3,76246,,25710877660
Bahrain,2008,male,55-74 years,1,35879,,25710877660
Bahrain,2008,female,35-54 years,3,115468,,25710877660
Bahrain,2008,female,25-34 years,2,93449,,25710877660
Bahrain,2008,female,5-14 years,,72955,,25710877660
Bahrain,2008,female,55-74 years,,24495,,25710877660
Bahrain,2008,female,75+ years,,5191,,25710877660
Bahrain,2008,male,15-24 years,,96458,,25710877660
Bahrain,2008,male,5-14 years,,76617,,25710877660
Bahrain,2008,male,75+ years,,4654,,25710877660
Bahrain,2009,male,35-54 years,14,242558,,22938218085
Bahrain,2009,male,25-34 years,9,222448,,22938218085
Bahrain,2009,female,25-34 years,4,99580,,22938218085
Bahrain,2009,male,15-24 years,4,102256,,22938218085
Bahrain,2009,male,55-74 years,1,38002,,22938218085
Bahrain,2009,male,5-14 years,2,79180,,22938218085
Bahrain,2009,female,35-54 years,2,118835,,22938218085
Bahrain,2009,female,15-24 years,,80832,,22938218085
Bahrain,2009,female,5-14 years,,75122,,22938218085
Bahrain,2009,female,55-74 years,,25915,,22938218085
Bahrain,2009,female,75+ years,,4103,,22938218085
Bahrain,2009,male,75+ years,,4091,,22938218085
Bahrain,2010,male,35-54 years,8,252232,0.819,25713271277
Bahrain,2010,male,25-34 years,6,235591,0.819,25713271277
Bahrain,2010,male,55-74 years,1,41999,0.819,25713271277
Bahrain,2010,female,35-54 years,2,125709,0.819,25713271277
Bahrain,2010,female,15-24 years,1,80571,0.819,25713271277
Bahrain,2010,female,25-34 years,1,104368,0.819,25713271277
Bahrain,2010,female,5-14 years,,77140,0.819,25713271277
Bahrain,2010,female,55-74 years,,27834,0.819,25713271277
Bahrain,2010,female,75+ years,,4625,0.819,25713271277
Bahrain,2010,male,15-24 years,,103388,0.819,25713271277
Bahrain,2010,male,5-14 years,,81414,0.819,25713271277
Bahrain,2010,male,75+ years,,4289,0.819,25713271277
Bahrain,2011,male,15-24 years,3,101695,0.817,28776595745
Bahrain,2011,male,55-74 years,1,43883,0.817,28776595745
Bahrain,2011,female,25-34 years,2,98138,0.817,28776595745
Bahrain,2011,male,25-34 years,4,220691,0.817,28776595745
Bahrain,2011,male,35-54 years,4,242955,0.817,28776595745
Bahrain,2011,female,35-54 years,2,123582,0.817,28776595745
Bahrain,2011,female,15-24 years,1,75788,0.817,28776595745
Bahrain,2011,female,5-14 years,1,77270,0.817,28776595745
Bahrain,2011,female,55-74 years,,29140,0.817,28776595745
Bahrain,2011,female,75+ years,,4742,0.817,28776595745
Bahrain,2011,male,5-14 years,,81209,0.817,28776595745
Bahrain,2011,male,75+ years,,4369,0.817,28776595745
Bahrain,2012,male,25-34 years,11,237133,0.819,30749308511
Bahrain,2012,male,35-54 years,6,268027,0.819,30749308511
Bahrain,2012,female,25-34 years,1,110796,0.819,30749308511
Bahrain,2012,male,15-24 years,1,111603,0.819,30749308511
Bahrain,2012,female,15-24 years,,81091,0.819,30749308511
Bahrain,2012,female,35-54 years,,135976,0.819,30749308511
Bahrain,2012,female,5-14 years,,81275,0.819,30749308511
Bahrain,2012,female,55-74 years,,31641,0.819,30749308511
Bahrain,2012,female,75+ years,,4548,0.819,30749308511
Bahrain,2012,male,5-14 years,,85538,0.819,30749308511
Bahrain,2012,male,55-74 years,,50001,0.819,30749308511
Bahrain,2012,male,75+ years,,4149,0.819,30749308511
Bahrain,2013,male,15-24 years,1,110064,0.821,32539547872
Bahrain,2013,male,25-34 years,2,237632,0.821,32539547872
Bahrain,2013,male,35-54 years,2,269162,0.821,32539547872
Bahrain,2013,female,15-24 years,,80476,0.821,32539547872
Bahrain,2013,female,25-34 years,,112513,0.821,32539547872
Bahrain,2013,female,35-54 years,,139352,0.821,32539547872
Bahrain,2013,female,5-14 years,,82726,0.821,32539547872
Bahrain,2013,female,55-74 years,,33780,0.821,32539547872
Bahrain,2013,female,75+ years,,4859,0.821,32539547872
Bahrain,2013,male,5-14 years,,86269,0.821,32539547872
Bahrain,2013,male,55-74 years,,53308,0.821,32539547872
Bahrain,2013,male,75+ years,,4351,0.821,32539547872
Bahrain,2014,male,15-24 years,4,100635,0.824,33387712766
Bahrain,2014,male,25-34 years,3,237952,0.824,33387712766
Bahrain,2014,female,25-34 years,1,110838,0.824,33387712766
Bahrain,2014,male,35-54 years,1,258922,0.824,33387712766
Bahrain,2014,female,15-24 years,,78926,0.824,33387712766
Bahrain,2014,female,35-54 years,,139103,0.824,33387712766
Bahrain,2014,female,5-14 years,,82452,0.824,33387712766
Bahrain,2014,female,55-74 years,,41406,0.824,33387712766
Bahrain,2014,female,75+ years,,6154,0.824,33387712766
Bahrain,2014,male,5-14 years,,86539,0.824,33387712766
Bahrain,2014,male,55-74 years,,64351,0.824,33387712766
Bahrain,2014,male,75+ years,,6688,0.824,33387712766
Barbados,1985,male,75+ years,1,4000,0.7,1417575550
Barbados,1985,male,55-74 years,3,13000,0.7,1417575550
Barbados,1985,female,25-34 years,2,22000,0.7,1417575550
Barbados,1985,male,25-34 years,1,22000,0.7,1417575550
Barbados,1985,female,15-24 years,,26000,0.7,1417575550
Barbados,1985,female,35-54 years,,24000,0.7,1417575550
Barbados,1985,female,5-14 years,,24000,0.7,1417575550
Barbados,1985,female,55-74 years,,19000,0.7,1417575550
Barbados,1985,female,75+ years,,7000,0.7,1417575550
Barbados,1985,male,15-24 years,,26000,0.7,1417575550
Barbados,1985,male,35-54 years,,20000,0.7,1417575550
Barbados,1985,male,5-14 years,,24000,0.7,1417575550
Barbados,1986,male,35-54 years,4,20000,,1556321742
Barbados,1986,male,15-24 years,2,26200,,1556321742
Barbados,1986,female,25-34 years,1,22000,,1556321742
Barbados,1986,male,25-34 years,1,22000,,1556321742
Barbados,1986,female,15-24 years,,26200,,1556321742
Barbados,1986,female,35-54 years,,24000,,1556321742
Barbados,1986,female,5-14 years,,24100,,1556321742
