,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year
21328,Saint Lucia,1988,female,25-34 years,0,10400,,366541091
21329,Saint Lucia,1988,female,35-54 years,0,10200,,366541091
21330,Saint Lucia,1988,male, 5-14 years,0,15700,,366541091
21331,Saint Lucia,1988,male,75+ years,0,1000,,366541091
21332,Saint Lucia,1989,male,55-74 years,2,6532,,415518112
21333,Saint Lucia,1989,female,55-74 years,1,7188,,415518112
21334,Saint Lucia,1989,male,25-34 years,1,9610,,415518112
21335,Saint Lucia,1989,female,25-34 years,1,10069,,415518112
21336,Saint Lucia,1989,male,35-54 years,1,10292,,415518112
21337,Saint Lucia,1989,male,15-24 years,1,13777,,415518112
21338,Saint Lucia,1989,female,15-24 years,1,14172,,415518112
21339,Saint Lucia,1989,female,35-54 years,0,10657,,415518112
21340,Saint Lucia,1989,female, 5-14 years,0,16416,,415518112
21341,Saint Lucia,1989,female,75+ years,0,1924,,415518112
21342,Saint Lucia,1989,male, 5-14 years,0,16552,,415518112
21343,Saint Lucia,1989,male,75+ years,0,1377,,415518112
21344,Saint Lucia,1990,male,25-34 years,1,9974,,483962431
21345,Saint Lucia,1990,female,25-34 years,1,10489,,483962431
21346,Saint Lucia,1990,male,15-24 years,1,13592,,483962431
21347,Saint Lucia,1990,female,15-24 years,0,14116,,483962431
21348,Saint Lucia,1990,female,35-54 years,0,10814,,483962431
21349,Saint Lucia,1990,female, 5-14 years,0,16405,,483962431
21350,Saint Lucia,1990,female,55-74 years,0,7433,,483962431
21351,Saint Lucia,1990,female,75+ years,0,2160,,483962431
21352,Saint Lucia,1990,male,35-54 years,0,10663,,483962431
21353,Saint Lucia,1990,male, 5-14 years,0,16448,,483962431
21354,Saint Lucia,1990,male,55-74 years,0,6879,,483962431
21355,Saint Lucia,1990,male,75+ years,0,1564,,483962431
21356,Saint Lucia,1991,male,75+ years,1,1687,,513753818
21357,Saint Lucia,1991,male,25-34 years,2,10359,,513753818
21358,Saint Lucia,1991,male,35-54 years,2,11009,,513753818
21359,Saint Lucia,1991,male,15-24 years,1,13648,,513753818
21360,Saint Lucia,1991,female,15-24 years,0,14156,,513753818
21361,Saint Lucia,1991,female,25-34 years,0,10923,,513753818
21362,Saint Lucia,1991,female,35-54 years,0,11148,,513753818
21363,Saint Lucia,1991,female, 5-14 years,0,16468,,513753818
21364,Saint Lucia,1991,female,55-74 years,0,7433,,513753818
21365,Saint Lucia,1991,female,75+ years,0,2309,,513753818
21366,Saint Lucia,1991,male, 5-14 years,0,16437,,513753818
21367,Saint Lucia,1991,male,55-74 years,0,6919,,513753818
21368,Saint Lucia,1992,male,35-54 years,7,11354,,566894749
21369,Saint Lucia,1992,male,15-24 years,3,13607,,566894749
21370,Saint Lucia,1992,male,55-74 years,1,6939,,566894749
21371,Saint Lucia,1992,female,15-24 years,0,14112,,566894749
21372,Saint Lucia,1992,female,25-34 years,0,11288,,566894749
21373,Saint Lucia,1992,female,35-54 years,0,11519,,566894749
21374,Saint Lucia,1992,female, 5-14 years,0,16583,,566894749
21375,Saint Lucia,1992,female,55-74 years,0,7421,,566894749
21376,Saint Lucia,1992,female,75+ years,0,2460,,566894749
21377,Saint Lucia,1992,male,25-34 years,0,10682,,566894749
21378,Saint Lucia,1992,male, 5-14 years,0,16444,,566894749
21379,Saint Lucia,1992,male,75+ years,0,1814,,566894749
21380,Saint Lucia,1993,male,35-54 years,5,11725,,574870405
21381,Saint Lucia,1993,male,25-34 years,2,10951,,574870405
21382,Saint Lucia,1993,male,55-74 years,1,6955,,574870405
21383,Saint Lucia,1993,female,15-24 years,0,14011,,574870405
21384,Saint Lucia,1993,female,25-34 years,0,11591,,574870405
21385,Saint Lucia,1993,female,35-54 years,0,11946,,574870405
21386,Saint Lucia,1993,female, 5-14 years,0,16743,,574870405
21387,Saint Lucia,1993,female,55-74 years,0,7403,,574870405
21388,Saint Lucia,1993,female,75+ years,0,2603,,574870405
21389,Saint Lucia,1993,male,15-24 years,0,13501,,574870405
21390,Saint Lucia,1993,male, 5-14 years,0,16487,,574870405
21391,Saint Lucia,1993,male,75+ years,0,1930,,574870405
21392,Saint Lucia,1994,male,35-54 years,2,12160,,600005564
21393,Saint Lucia,1994,male,15-24 years,2,13371,,600005564
21394,Saint Lucia,1994,female,15-24 years,2,13897,,600005564
21395,Saint Lucia,1994,female,25-34 years,0,11849,,600005564
21396,Saint Lucia,1994,female,35-54 years,0,12434,,600005564
21397,Saint Lucia,1994,female, 5-14 years,0,16932,,600005564
21398,Saint Lucia,1994,female,55-74 years,0,7403,,600005564
21399,Saint Lucia,1994,female,75+ years,0,2738,,600005564
21400,Saint Lucia,1994,male,25-34 years,0,11172,,600005564
21401,Saint Lucia,1994,male, 5-14 years,0,16577,,600005564
21402,Saint Lucia,1994,male,55-74 years,0,6985,,600005564
21403,Saint Lucia,1994,male,75+ years,0,2039,,600005564
21404,Saint Lucia,1995,male,25-34 years,4,11345,,640449501
21405,Saint Lucia,1995,male,35-54 years,3,12673,,640449501
21406,Saint Lucia,1995,male,15-24 years,2,13265,,640449501
21407,Saint Lucia,1995,female,35-54 years,1,12984,,640449501
21408,Saint Lucia,1995,female,15-24 years,0,13807,,640449501
21409,Saint Lucia,1995,female,25-34 years,0,12065,,640449501
21410,Saint Lucia,1995,female, 5-14 years,0,17137,,640449501
21411,Saint Lucia,1995,female,55-74 years,0,7428,,640449501
21412,Saint Lucia,1995,female,75+ years,0,2867,,640449501
21413,Saint Lucia,1995,male, 5-14 years,0,16723,,640449501
21414,Saint Lucia,1995,male,55-74 years,0,7035,,640449501
21415,Saint Lucia,1995,male,75+ years,0,2137,,640449501
21416,Saint Lucia,1996,male,25-34 years,2,11467,,662196185
21417,Saint Lucia,1996,male,35-54 years,2,13179,,662196185
21418,Saint Lucia,1996,male,15-24 years,2,13444,,662196185
21419,Saint Lucia,1996,female,55-74 years,1,7391,,662196185
21420,Saint Lucia,1996,female,15-24 years,0,13973,,662196185
21421,Saint Lucia,1996,female,25-34 years,0,12240,,662196185
21422,Saint Lucia,1996,female,35-54 years,0,13551,,662196185
21423,Saint Lucia,1996,female, 5-14 years,0,17327,,662196185
21424,Saint Lucia,1996,female,75+ years,0,2971,,662196185
21425,Saint Lucia,1996,male, 5-14 years,0,16888,,662196185
21426,Saint Lucia,1996,male,55-74 years,0,6966,,662196185
21427,Saint Lucia,1996,male,75+ years,0,2224,,662196185
21428,Saint Lucia,1997,male,75+ years,1,2293,,676949594
21429,Saint Lucia,1997,male,55-74 years,2,6918,,676949594
21430,Saint Lucia,1997,male,35-54 years,3,13783,,676949594
21431,Saint Lucia,1997,male,15-24 years,2,13692,,676949594
21432,Saint Lucia,1997,male,25-34 years,1,11568,,676949594
21433,Saint Lucia,1997,female,15-24 years,0,14193,,676949594
21434,Saint Lucia,1997,female,25-34 years,0,12385,,676949594
21435,Saint Lucia,1997,female,35-54 years,0,14183,,676949594
21436,Saint Lucia,1997,female, 5-14 years,0,17456,,676949594
21437,Saint Lucia,1997,female,55-74 years,0,7376,,676949594
21438,Saint Lucia,1997,female,75+ years,0,3067,,676949594
21439,Saint Lucia,1997,male, 5-14 years,0,17053,,676949594
21440,Saint Lucia,1998,male,75+ years,1,2345,,737554872
21441,Saint Lucia,1998,female,75+ years,1,3134,,737554872
21442,Saint Lucia,1998,male,25-34 years,2,11650,,737554872
21443,Saint Lucia,1998,male,35-54 years,2,14443,,737554872
21444,Saint Lucia,1998,female,35-54 years,2,14857,,737554872
21445,Saint Lucia,1998,female,15-24 years,0,14463,,737554872
21446,Saint Lucia,1998,female,25-34 years,0,12506,,737554872
21447,Saint Lucia,1998,female, 5-14 years,0,17514,,737554872
21448,Saint Lucia,1998,female,55-74 years,0,7399,,737554872
21449,Saint Lucia,1998,male,15-24 years,0,13997,,737554872
21450,Saint Lucia,1998,male, 5-14 years,0,17192,,737554872
21451,Saint Lucia,1998,male,55-74 years,0,6900,,737554872
21452,Saint Lucia,1999,male,55-74 years,2,6904,,775934813
21453,Saint Lucia,1999,male,25-34 years,3,11720,,775934813
21454,Saint Lucia,1999,male,15-24 years,1,14330,,775934813
21455,Saint Lucia,1999,female,15-24 years,1,14777,,775934813
21456,Saint Lucia,1999,male,35-54 years,1,15112,,775934813
21457,Saint Lucia,1999,female,25-34 years,0,12606,,775934813
21458,Saint Lucia,1999,female,35-54 years,0,15542,,775934813
21459,Saint Lucia,1999,female, 5-14 years,0,17512,,775934813
21460,Saint Lucia,1999,female,55-74 years,0,7454,,775934813
21461,Saint Lucia,1999,female,75+ years,0,3184,,775934813
21462,Saint Lucia,1999,male, 5-14 years,0,17291,,775934813
21463,Saint Lucia,1999,male,75+ years,0,2381,,775934813
21464,Saint Lucia,2000,male,75+ years,2,2398,0.683,784159229
21465,Saint Lucia,2000,male,55-74 years,3,6940,0.683,784159229
21466,Saint Lucia,2000,male,25-34 years,3,11783,0.683,784159229
21467,Saint Lucia,2000,female,55-74 years,1,7546,0.683,784159229
21468,Saint Lucia,2000,male,35-54 years,2,15752,0.683,784159229
21469,Saint Lucia,2000,female,25-34 years,1,12690,0.683,784159229
21470,Saint Lucia,2000,female,35-54 years,1,16209,0.683,784159229
21471,Saint Lucia,2000,male, 5-14 years,1,17324,0.683,784159229
21472,Saint Lucia,2000,female,15-24 years,0,15127,0.683,784159229
21473,Saint Lucia,2000,female, 5-14 years,0,17444,0.683,784159229
21474,Saint Lucia,2000,female,75+ years,0,3209,0.683,784159229
21475,Saint Lucia,2000,male,15-24 years,0,14678,0.683,784159229
21476,Saint Lucia,2001,male,25-34 years,3,11897,,743808076
21477,Saint Lucia,2001,male,55-74 years,1,6930,,743808076
21478,Saint Lucia,2001,male,15-24 years,2,15031,,743808076
21479,Saint Lucia,2001,male,35-54 years,1,16328,,743808076
21480,Saint Lucia,2001,female,15-24 years,0,15489,,743808076
21481,Saint Lucia,2001,female,25-34 years,0,12789,,743808076
21482,Saint Lucia,2001,female,35-54 years,0,16825,,743808076
21483,Saint Lucia,2001,female, 5-14 years,0,17304,,743808076
21484,Saint Lucia,2001,female,55-74 years,0,7625,,743808076
21485,Saint Lucia,2001,female,75+ years,0,3227,,743808076
21486,Saint Lucia,2001,male, 5-14 years,0,17284,,743808076
21487,Saint Lucia,2001,male,75+ years,0,2437,,743808076
21488,Saint Lucia,2002,male,75+ years,2,2451,,748346606
21489,Saint Lucia,2002,female,75+ years,1,3217,,748346606
21490,Saint Lucia,2002,male,25-34 years,2,12017,,748346606
21491,Saint Lucia,2002,male,55-74 years,1,6972,,748346606
21492,Saint Lucia,2002,male,15-24 years,2,15388,,748346606
21493,Saint Lucia,2002,female,55-74 years,1,7756,,748346606
21494,Saint Lucia,2002,female,15-24 years,1,15885,,748346606
21495,Saint Lucia,2002,male,35-54 years,1,16874,,748346606
21496,Saint Lucia,2002,female,35-54 years,1,17427,,748346606
21497,Saint Lucia,2002,female,25-34 years,0,12889,,748346606
21498,Saint Lucia,2002,female, 5-14 years,0,17117,,748346606
21499,Saint Lucia,2002,male, 5-14 years,0,17175,,748346606
21500,Saint Lucia,2003,male,75+ years,1,2427,,823837141
21501,Saint Lucia,2003,female,75+ years,1,3171,,823837141
21502,Saint Lucia,2003,male,25-34 years,2,12157,,823837141
21503,Saint Lucia,2003,male,55-74 years,1,7068,,823837141
21504,Saint Lucia,2003,female,15-24 years,2,16282,,823837141
21505,Saint Lucia,2003,male,15-24 years,1,15746,,823837141
21506,Saint Lucia,2003,male,35-54 years,1,17412,,823837141
21507,Saint Lucia,2003,female,35-54 years,1,18027,,823837141
21508,Saint Lucia,2003,female,25-34 years,0,13004,,823837141
21509,Saint Lucia,2003,female, 5-14 years,0,16898,,823837141
21510,Saint Lucia,2003,female,55-74 years,0,7937,,823837141
21511,Saint Lucia,2003,male, 5-14 years,0,16998,,823837141
21512,Saint Lucia,2004,male,55-74 years,2,7220,,893107211
21513,Saint Lucia,2004,male,35-54 years,4,17965,,893107211
21514,Saint Lucia,2004,male,25-34 years,2,12342,,893107211
21515,Saint Lucia,2004,female,15-24 years,0,16645,,893107211
21516,Saint Lucia,2004,female,25-34 years,0,13158,,893107211
21517,Saint Lucia,2004,female,35-54 years,0,18642,,893107211
21518,Saint Lucia,2004,female, 5-14 years,0,16645,,893107211
21519,Saint Lucia,2004,female,55-74 years,0,8141,,893107211
21520,Saint Lucia,2004,female,75+ years,0,3117,,893107211
21521,Saint Lucia,2004,male,15-24 years,0,16100,,893107211
21522,Saint Lucia,2004,male, 5-14 years,0,16765,,893107211
21523,Saint Lucia,2004,male,75+ years,0,2381,,893107211
21524,Saint Lucia,2005,male,35-54 years,2,18544,0.691,951207366
